poem_id	stanza_id	total_lines_in_stanza	total_stanzas_in_poem	id_stanza_in_poem	id_line_in_poem	id_line_in_stanza	author	pub_year	period	title	line_text	emotion1anno1	emotion2anno1	emotion1anno2	emotion2anno2	measure	i_measure	s_measure	foot_meter	meter	feet	caesura_rhythm	main_accents	caesuras	rhyme_schema	enjambement	cadence	foot_inversion	chol_iambic	relaxed_syllables
1	1	4	4	1	1	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich muß hinaus, ich muß zu dir,	Vitality	NONE	Vitality	NONE	iambic.tetra	iambic	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	0102:0102:	01020102	...:...:	abab	False	male	False	False	False
1	1	4	4	1	2	2	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich muß es selbst dir sagen:	Vitality	NONE	Vitality	NONE	iambic.tri	iambic	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0102020:	0102020	......:	abab	False	female	False	False	False
1	1	4	4	1	3	3	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Du bist mein Frühling, du nur mir	Vitality	NONE	Vitality	NONE	iambic.tetra	iambic	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	00020:200:	00020200	....:..:	abab	True	male	False	False	False
1	1	4	4	1	4	4	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	In diesen lichten Tagen.	Vitality	NONE	Vitality	NONE	iambic.tri	iambic	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0001020:	0001020	......:	abab	False	female	False	False	False
1	2	4	4	2	5	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will die Rosen nicht mehr sehn,	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	01020002:	01020002	.......:	abab	False	male	False	False	False
1	2	4	4	2	6	2	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Nicht mehr die grünen Matten;	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0001020:	0001020	......:	abab	False	female	False	False	False
1	2	4	4	2	7	3	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will nicht mehr zu Walde gehn	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	02000102:	02000102	.......:	abab	True	male	False	False	False
1	2	4	4	2	8	4	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Nach Duft und Klang und Schatten.	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0202020:	0202020	......:	abab	False	female	False	False	False
1	3	4	4	3	9	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will nicht mehr der Lüfte Zug,	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	02000102:	02000102	.......:	abab	False	male	False	False	False
1	3	4	4	3	10	2	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Nicht mehr der Wellen Rauschen,	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0001020:	0001020	......:	abab	False	female	False	False	False
1	3	4	4	3	11	3	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will nicht mehr der Vögel Flug	Vitality	Sadness	Vitality	NONE	iambic.tetra	iambic	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	02000102:	02000102	.......:	abab	True	male	False	False	False
1	3	4	4	3	12	4	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Und ihrem Liede lauschen -	Vitality	Sadness	Vitality	NONE	iambic.tri	iambic	iambic	-+|-+|-+|-	-+-+-+-	.:.:.:.	0002010:	0002010	......:	abab	False	female	False	False	False
1	4	4	4	4	13	1	Fallersleben, Hoffmann von	1833	VormärzBiedermeierJunges Deutschland	Liebe und Frühling	Ich will hinaus, ich will zu dir,	Vitality	NONE	Vitality	NONE	iambic.tetra	iambic	iambic	-+|-+|-+|-+|	-+-+-+-+	.:.:.:.:	0102:0102:	01020102	...:...:	abab	False	male	False	False	False
